TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2023-11-22T19:55:15.909486', 'End': '2023-11-22T19:55:15.909497'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 97.05, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-11-21T19:55:15.909517', 'End': '2023-11-22T19:55:15.909520'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 23.84, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-11-20T19:55:15.909526', 'End': '2023-11-22T19:55:15.909528'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 25.99, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-19T19:55:15.909534', 'End': '2023-11-22T19:55:15.909536'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 41.41, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-18T19:55:15.909541', 'End': '2023-11-22T19:55:15.909543'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 59.63, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-17T19:55:15.909547', 'End': '2023-11-22T19:55:15.909550'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 60.54, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-16T19:55:15.909555', 'End': '2023-11-22T19:55:15.909556'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 73.58, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-15T19:55:15.909561', 'End': '2023-11-22T19:55:15.909563'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 94.45, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-14T19:55:15.909568', 'End': '2023-11-22T19:55:15.909570'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 88.94, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-13T19:55:15.909575', 'End': '2023-11-22T19:55:15.909577'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 94.31, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-11-12T19:55:15.909586', 'End': '2023-11-22T19:55:15.909589'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 84.74, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-11T19:55:15.909594', 'End': '2023-11-22T19:55:15.909596'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 95.71, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-10T19:55:15.909600', 'End': '2023-11-22T19:55:15.909602'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 95.2, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-09T19:55:15.909607', 'End': '2023-11-22T19:55:15.909609'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 70.09, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-11-08T19:55:15.909614', 'End': '2023-11-22T19:55:15.909616'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 34.71, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-07T19:55:15.909621', 'End': '2023-11-22T19:55:15.909623'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 25.47, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-11-06T19:55:15.909627', 'End': '2023-11-22T19:55:15.909629'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 83.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-11-05T19:55:15.909634', 'End': '2023-11-22T19:55:15.909636'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 97.26, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
